"City Council District","Agency","Site","Address","Borough","Environmental Justice Area","Installation Date","Installed or Estimated Capacity","Percentage of Max Peak Demand","Estimated Annual Production","Percentage of Annual Electricity Consumption","Estimated Annual Emissions Reduction","Estimated Social Cost of Carbon Value","Estimated Annual Energy Savings","Upfront Project Cost","Financing Mechanism","Status","Solar-Readiness Assessment","Total Gross Square Footage","Roof Condition","Roof Age","Other Sustaibility Projects","Year of Report","Data Current as of","Postcode","Latitude","Longitude","Community Board","Census Tract","BIN","BBL","NTA"
"49","DSNY","Staten Island Lot Cleaning","66 Swan St","Staten Island","EJA",,,,,,,,,,,"Not Solar-Ready","No","31,190 GSF","Good","> 20 years","No","2020","06/14/2021","10301","40.634782","-74.077312","501","21","5013317","5005040049","Stapleton-Rosebank"
"49","FDNY","Staten Island Central Office","65 Slosson Ave","Staten Island","�",,,,,,,,,,,"Not Solar-Ready","No","12,174 GSF","Fair","15 to 19 years","No","2020","06/14/2021","10314","40.620248","-74.119137","501","147","5112427","5003190001","Westerleigh"
"49","HRA","OCSS/OLA:  Family Court Unit; OCSS: Richmond Family Court. (Space) Court Bldg.","18 Richmond Ter","Staten Island","�",,,,,,,,,,,"Not Solar-Ready","No","Unknown","Unknown","Unknown","No","2020","06/14/2021","10301","40.643004","-74.075772","501","3","5000064","5000070012","West New Brighton-New Brighton-St. George"
"49","NYPD","120th Precinct","78 Richmond Ter","Staten Island","EJA",,,,,,,,,,,"Not Solar-Ready","No","15,540 GSF","Good","> 20 years","No","2020","06/14/2021","10301","40.644691","-74.077038","501","7","5106476","5000090028","West New Brighton-New Brighton-St. George"
"49","NYPL","St. George Library Center","10 Hyatt St","Staten Island","�",,,,,,,,,,,"Not Solar-Ready","No","25,029 GSF","Poor","Unknown","No","2020","06/14/2021","10301","40.642111","-74.076715","501","3","5000030","5000050074","West New Brighton-New Brighton-St. George"
"50","DCAS","Brielle Ave","460 Brielle Ave","Staten Island","EJA",,,,,,,,,,,"Not Solar-Ready","No","115,563 GSF","Unknown","Unknown","No","2020","06/14/2021","10314","40.593798","-74.135437","502","181","5141697","5009550100","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill"
"50","DEP","Corridor TB-MB","751 Mill Rd","Staten Island","�",,,,,,,,,,,"Not Solar-Ready","No","57,422 GSF","Between Fair and Poor","> 20 years","No","2020","06/14/2021","10306","40.553533","-74.117165","503","12805","5135536","5050670500","Oakwood-Oakwood Beach"
"50","DEP","Dewatering Building","751 Mill Rd","Staten Island","�",,,,,,,,,,,"Not Solar-Ready","No","29,722 GSF","Between Fair and Poor","> 20 years","No","2020","06/14/2021","10306","40.553533","-74.117165","503","12805","5135536","5050670500","Oakwood-Oakwood Beach"
"50","DEP","Main Building","751 Mill Rd","Staten Island","�",,,,,,,,,,,"Not Solar-Ready","No","10,266 GSF","Between Fair and Poor","> 20 years","No","2020","06/14/2021","10306","40.553533","-74.117165","503","12805","5135536","5050670500","Oakwood-Oakwood Beach"
"50","DEP","Treatment Building","751 Mill Rd","Staten Island","�",,,,,,,,,,,"Not Solar-Ready","No","182,813 GSF","Between Fair and Poor","> 20 years","No","2020","06/14/2021","10306","40.553533","-74.117165","503","12805","5135536","5050670500","Oakwood-Oakwood Beach"
"50","DOE","R002","333 Midland Ave","Staten Island","�",,,,,,,,,,,"Not Solar-Ready","No","182,575 GSF","Fair","10 to 14 years","No","2020","06/14/2021","10306","40.576725","-74.100726","502","11202","5053571","5036960100","New Dorp-Midland Beach"
"50","DOE","R011","50 Jefferson St","Staten Island","�",,,,,,,,,,,"Not Solar-Ready","No","46,880 GSF","Fair","> 20 years","No","2020","06/14/2021","10304","40.59057","-74.097722","502","9602","5048647","5033030018","Old Town-Dongan Hills-South Beach"
"50","DOE","R023","30 Natick St","Staten Island","�",,,,,,,,,,,"Not Solar-Ready","No","79,375 GSF","Poor","> 20 years","No","2020","06/14/2021","10306","40.571187","-74.132634","503","138","5059927","5043730001","Oakwood-Oakwood Beach"
"50","DOE","R026","4108 Victory Blvd","Staten Island","�",,,,,,,,,,,"Not Solar-Ready","No","33,660 GSF","Between Fair and Poor","> 20 years","No","2020","06/14/2021","10314","40.591702","-74.190648","502","29102","5107386","5026340001","New Springville-Bloomfield-Travis"
